"dept_id","popsize"
1,668565
2,543368
3,344922
4,168867
5,145791
6,1108475
7,337227
8,276930
9,157339
10,317366
11,382881
12,289948
13,2067654
14,709064
15,149664
16,361250
17,667287
18,309523
19,247841
21,546189
22,618869
23,120146
24,423678
25,557714
26,530083
27,612792
28,441931
29,940279
30,762059
31,1423290
32,198101
33,1648307
34,1193790
35,1104397
36,225013
37,622318
38,1296116
39,268328
40,425968
41,337975
42,780016
43,234401
44,1458259
45,695084
46,179729
47,339620
48,80304
49,838257
50,510956
51,578349
52,177457
53,316615
54,745453
55,189535
56,781100
57,1065327
58,209860
59,2638696
60,847158
61,288008
62,1487300
63,676745
64,701418
65,235709
66,487853
67,1156224
68,781389
69,1902247
70,241538
71,567306
72,579606
73,449127
74,847627
75,2182174
76,1276532
77,1437729
78,1473221
79,385150
80,580535
81,400343
82,266481
83,1093822
84,572613
85,704403
86,448749
87,379249
88,375855
89,344022
90,144447
91,1316011
92,1640721
93,1651739
94,1415845
95,1259985
